"ID",URI,Filename,Reference
pidf:geopriv10,urn:ietf:params:xml:ns:pidf:geopriv10,ns/pidf/geopriv10.txt,[RFC4119]
pidf:geopriv10:basicPolicy,urn:ietf:params:xml:ns:pidf:geopriv10:basicPolicy,ns/pidf/geopriv10/basicPolicy.txt,[RFC4119]
pidf:geopriv10:civicAddr,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr,ns/pidf/geopriv10/civicAddr.txt,[RFC5139]
pidf:geopriv10:civicAddr:ext,urn:ietf:params:xml:ns:pidf:geopriv10:civicAddr:ext,ns/pidf/geopriv10/civicAddr/ext.txt,[RFC6848]
pidf:geopriv10:civicLoc,urn:ietf:params:xml:ns:pidf:geopriv10:civicLoc,ns/pidf/geopriv10/civicLoc.txt,[RFC4119]
pidf:geopriv10:dataProvider,urn:ietf:params:xml:ns:pidf:geopriv10:dataProvider,ns/pidf/geopriv10/dataProvider.txt,[RFC4119]
pidf:geopriv10:dynamic,urn:ietf:params:xml:ns:pidf:geopriv10:dynamic,ns/pidf/geopriv10/dynamic.txt,[RFC5962]
pidf:geopriv10:lmsrc,urn:ietf:params:xml:ns:pidf:geopriv10:lmsrc,ns/pidf/geopriv10/lmsrc.txt,[RFC7105]
pidf:geopriv10:relative,urn:ietf:params:xml:ns:pidf:geopriv10:relative,ns/pidf/geopriv10/relative.txt,[RFC7035]
pidf:rpid,urn:ietf:params:xml:ns:pidf:rpid,ns/pidf/rpid.txt,[RFC4480]
pidf:status,urn:ietf:params:xml:ns:pidf:status,ns/pidf/status.txt,[RFC3863]
pidf:timed-status,urn:ietf:params:xml:ns:pidf:timed-status,ns/pidf/timed-status.txt,[RFC4481]
pidf-diff,urn:ietf:params:xml:ns:pidf-diff,ns/pidf-diff.txt,[RFC5262]
pres-rules,urn:ietf:params:xml:ns:pres-rules,ns/pres-rules.txt,[RFC5025]
rde-1.0,urn:ietf:params:xml:ns:rde-1.0,ns/rde-1.0.txt,[RFC8909]
rdeContact-1.0,urn:ietf:params:xml:ns:rdeContact-1.0,ns/rdeContact-1.0.txt,[RFC9022]
rdeCsv-1.0,urn:ietf:params:xml:ns:rdeCsv-1.0,ns/rdeCsv-1.0.txt,[RFC9022]
rdeDnrdCommon-1.0,urn:ietf:params:xml:ns:rdeDnrdCommon-1.0,ns/rdeDnrdCommon-1.0.txt,[RFC9022]
rdeDomain-1.0,urn:ietf:params:xml:ns:rdeDomain-1.0,ns/rdeDomain-1.0.txt,[RFC9022]
rdeEppParams-1.0,urn:ietf:params:xml:ns:rdeEppParams-1.0,ns/rdeEppParams-1.0.txt,[RFC9022]
rdeHeader-1.0,urn:ietf:params:xml:ns:rdeHeader-1.0,ns/rdeHeader-1.0.txt,[RFC9022]
rdeHost-1.0,urn:ietf:params:xml:ns:rdeHost-1.0,ns/rdeHost-1.0.txt,[RFC9022]
rdeIDN-1.0,urn:ietf:params:xml:ns:rdeIDN-1.0,ns/rdeIDN-1.0.txt,[RFC9022]
rdeNNDN-1.0,urn:ietf:params:xml:ns:rdeNNDN-1.0,ns/rdeNNDN-1.0.txt,[RFC9022]
rdePolicy-1.0,urn:ietf:params:xml:ns:rdePolicy-1.0,ns/rdePolicy-1.0.txt,[RFC9022]
